organisms,Organism Groups,Assembly,Size(Mb),GC%
Gluconobacter japonicus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002723975.1,3.1569,56.1
Gluconobacter albidus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002005485.1,3.3693,59.4897
Gluconobacter roseus NBRC 3990,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006538885.1,2.88228,59.9
Marichromatium gracile,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004343155.1,3.83004,68.4
Collimonas pratensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001584225.1,5.5859,59
Brevibacterium ravenspurgense,Bacteria;Terrabacteria group;Actinobacteria,GCA_001584615.1,2.2974,62.4
Obesumbacterium proteus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000980985.1,4.66714,49
Zhongshania aliphaticivorans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_902705875.1,3.97938,46.6
Sterolibacterium denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001586935.1,0.952224,63.6
Bacillus sporothermodurans,Bacteria;Terrabacteria group;Firmicutes,GCA_003055045.1,3.85709,35.9
Ideonella sakaiensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001293525.1,6.14206,72.9
Paeniglutamicibacter antarcticus,Bacteria;Terrabacteria group;Actinobacteria,GCA_900010755.1,4.43308,61.7
Grimontia marina,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900060185.1,5.6907,48.2
Pedobacter cryoconitis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001590605.1,5.95054,38.8
Sporosarcina psychrophila,Bacteria;Terrabacteria group;Firmicutes,GCA_001590685.1,4.67419,40.3
Serratia ficaria,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900187015.1,5.20997,60.1
Bacillus fastidiosus NBRC 101226,Bacteria;Terrabacteria group;Firmicutes,GCA_001591625.1,4.41064,35.1
Bacillus korlensis NBRC 107688,Bacteria;Terrabacteria group;Firmicutes,GCA_001591645.1,4.95102,38.2
Neobacillus novalis,Bacteria;Terrabacteria group;Firmicutes,GCA_001636395.1,5.66819,40
Desulfofarcimen intricatum,Bacteria;Terrabacteria group;Firmicutes,GCA_001592105.1,2.98106,40.5
Neobacillus soli,Bacteria;Terrabacteria group;Firmicutes,GCA_002335815.1,5.5799,39.7
Bergeriella denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,GCA_900453875.1,2.54937,55.5
Brevundimonas vesicularis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002208825.2,3.34553,66.1
Castellaniella caeni NBRC 101664,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001592225.1,3.28222,65
Roseivirga ehrenbergii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004340805.1,4.25144,39.3
Roseivirga spongicola,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001592965.1,4.4811,40.2
Halalkalicoccus paucihalophilus,Archaea;Euryarchaeota;Stenosarchaea group,GCA_001593955.1,3.98041,61.7
Clostridium tepidiprofundi DSM 19306,Bacteria;Terrabacteria group;Firmicutes,GCA_001594005.1,3.06011,29.4
Moorella mulderi DSM 14980,Bacteria;Terrabacteria group;Firmicutes,GCA_001594015.1,2.99984,54.5
Cupriavidus oxalaticus,Bacteria;Proteobacteria;Betaproteobacteria,GCA_008807855.1,7.29685,66.3151
Curvibacter delicatus NBRC 14919,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001592265.1,3.75576,63.5
Hydrogenophaga pseudoflava,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004353865.1,4.90597,67.0484
Hydrogenophaga taeniospiralis CCUG 15921,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001592305.1,5.27533,66.7
Planococcus maritimus,Bacteria;Terrabacteria group;Firmicutes,GCA_001730005.1,3.21641,47.2
Roseivirga echinicomitans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001592935.1,4.18991,40
Nocardia arizonensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001618405.1,7.20198,67.9
Pseudoalteromonas telluritireducens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001596795.1,4.40632,40.9
Pseudoalteromonas spiralis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001596815.1,4.16651,40.2
Tatumella saanichensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000439375.1,3.31862,51.3
Vibrio renipiscarius,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000827885.1,4.33972,45.2
Flavobacterium seoulense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000695795.1,3.79264,33.2
Edwardsiella anguillarum ET080813,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000264765.2,4.32965,58.3656
Cupriavidus nantongensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001598055.1,7.13642,66.6959
Moraxella oblonga NBRC 102422,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001598275.1,2.42539,41
Flavobacterium chilense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900142685.1,6.11383,33.7
Enterococcus pernyi,Bacteria;Terrabacteria group;Firmicutes,GCA_001601555.1,3.18857,38.4
Thermovenabulum gondwanense,Bacteria;Terrabacteria group;Firmicutes,GCA_001601575.1,2.2828,38
Helicobacter himalayensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_001602095.1,1.82994,39.9
Methanoculleus horonobensis,Archaea;Euryarchaeota;Stenosarchaea group,GCA_001602375.1,2.44611,62
Idiomarina atlantica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000753735.1,2.70311,50.2
Oceanivirga salmonicida,Bacteria;Fusobacteria;Fusobacteriia,GCA_009733705.1,1.86213,25.2
Aminobacter aminovorans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900445235.1,5.88688,63.2
Spirochaeta lutea,Bacteria;Spirochaetes;Spirochaetia,GCA_000758165.1,3.53291,53.8
Modestobacter caceresii,Bacteria;Terrabacteria group;Actinobacteria,GCA_000761485.1,4.95365,73.6
Pseudomonas donghuensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000696345.1,5.624,62.4
Pseudomonas koreensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900101415.1,6.12391,60.5
Psychrobacter alimentarius,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001606025.1,3.34944,42.8823
Thioclava indica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000714545.1,3.82207,60.3
Thioclava atlantica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000737065.1,3.92844,65.3
Xanthomonas maliensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_009192945.1,5.19698,66.2
Photobacterium sanguinicancri,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002265265.1,5.47542,43.7
Anaerosporomusa subterranea,Bacteria;Terrabacteria group;Firmicutes,GCA_001611555.1,3.96819,47.1
Pontibacter akesuensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001611675.1,4.82956,51.0168
Mycobacterium interjectum,Bacteria;Terrabacteria group;Actinobacteria,GCA_900078675.2,5.92924,67.6
Mycolicibacterium houstonense,Bacteria;Terrabacteria group;Actinobacteria,GCA_900078665.2,6.45181,66.7
Haematospirillum jordaniae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_012102775.1,2.36375,55.3
Nocardia amikacinitolerans,Bacteria;Terrabacteria group;Actinobacteria,GCA_900215415.1,7.37913,68.7
Nocardia crassostreae,Bacteria;Terrabacteria group;Actinobacteria,GCA_001613405.1,8.29315,67.7
Terrimicrobium sacchariphilum,Bacteria;PVC group;Verrucomicrobia,GCA_001613545.1,4.75181,60.2
Marinobacter nitratireducens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000708045.1,3.89003,56.7
Jeotgalibacillus malaysiensis,Bacteria;Terrabacteria group;Firmicutes,GCA_000818095.1,4.11951,42.3633
Streptobacillus notomytis,Bacteria;Fusobacteria;Fusobacteriia,GCA_001902585.1,1.37035,26.5
Escherichia marmotae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_011751205.1,4.7154,50.3
Oceanobacillus damuensis,Bacteria;Terrabacteria group;Firmicutes,GCA_001618145.1,4.11884,39.3
Oceanibaculum pacificum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001618175.1,3.89143,65.7
Erythrobacter luteus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001010945.1,2.88722,67.2
Bradyrhizobium embrapense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001189235.2,8.26783,64
Bradyrhizobium tropiciagri,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001189845.1,9.76731,63.5
Paludibacter jiangxiensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001618385.1,3.66488,42.9
Methanoculleus sediminis,Archaea;Euryarchaeota;Stenosarchaea group,GCA_001017125.1,2.48972,62.3
Halofilum ochraceum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001614315.2,3.6443,65.8
Rummeliibacillus stabekisii,Bacteria;Terrabacteria group;Firmicutes,GCA_001617605.1,3.42074,37.6939
Arcobacter lanthieri,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_013201625.1,2.27646,26.6
Shewanella mangrovi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000753795.1,4.21579,48.1
Sedimenticola thiotaurini,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001007875.1,3.96228,57.5722
Microbulbifer thermotolerans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001617625.1,3.9384,56.6
Crenobacter luteus,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001619695.1,2.85903,68.3
Fictibacillus phosphorivorans,Bacteria;Terrabacteria group;Firmicutes,GCA_001629705.2,4.23067,39.3
Micrococcus aloeverae,Bacteria;Terrabacteria group;Actinobacteria,GCA_004462915.1,2.51318,73
Sphingomonas hankookensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001619955.1,3.81284,67.1
Polynucleobacter yangtzensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001595965.1,2.04521,45.4
Polynucleobacter sinensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001595985.1,2.31806,45.5
Polynucleobacter duraquae,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000973625.1,2.02629,45.2
Nitrosopumilus piranensis,Archaea;TACK group;Thaumarchaeota,GCA_000875775.1,1.71308,33.8
Nitrosopumilus adriaticus,Archaea;TACK group;Thaumarchaeota,GCA_000956175.1,1.80309,33.4
Defluviimonas alba,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001620265.1,4.98761,66.5215
Amycolatopsis keratiniphila,Bacteria;Terrabacteria group;Actinobacteria,GCA_000400635.2,8.98209,68.9996
Pseudovibrio axinellae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900110875.1,5.13199,50.3
Hydrotalea flava,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900089575.1,2.08245,36.8
Oerskovia enterophila,Bacteria;Terrabacteria group;Actinobacteria,GCA_001692445.1,4.65151,72.3
Clostridium magnum DSM 2767,Bacteria;Terrabacteria group;Firmicutes,GCA_900129955.1,6.47225,31.8
Geobacter anodireducens,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_001628815.1,3.66601,61.5106
Dietzia maris,Bacteria;Terrabacteria group;Actinobacteria,GCA_003122005.1,3.40668,70.7
Paenibacillus gorillae,Bacteria;Terrabacteria group;Firmicutes,GCA_000513275.1,6.25797,48.8
Grimontia celer,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900055185.1,5.60749,48.4
Paenibacillus glucanolyticus,Bacteria;Terrabacteria group;Firmicutes,GCA_001632305.1,5.89759,49.2
Bordetella ansorpii,Bacteria;Proteobacteria;Betaproteobacteria,GCA_900078315.1,6.15351,66.7
Anoxybacillus amylolyticus,Bacteria;Terrabacteria group;Firmicutes,GCA_001634285.1,3.15827,43.6322
Sphingobium barthaii,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004361945.1,4.50127,63.4
Erythrobacter atlanticus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001077815.2,3.22636,58.3525
Algibacter alginicilyticus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001310225.1,3.99477,31.8
Moraxella ovis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001636015.1,2.3061,45.3015
Bacillus nakamurai,Bacteria;Terrabacteria group;Firmicutes,GCA_001584325.1,3.68928,45.3
Cytobacillus gottheilii,Bacteria;Terrabacteria group;Firmicutes,GCA_001636345.1,4.58685,39
Neobacillus mesonae,Bacteria;Terrabacteria group;Firmicutes,GCA_001636315.1,5.80773,40.3
Cytobacillus horneckiae,Bacteria;Terrabacteria group;Firmicutes,GCA_001636335.1,4.13159,37.4
Cytobacillus eiseniae,Bacteria;Terrabacteria group;Firmicutes,GCA_001636325.1,5.47108,37.6
Bacillus acidicola,Bacteria;Terrabacteria group;Firmicutes,GCA_001636425.1,5.13836,39.4
Kosmotoga arenicorallina S304,Bacteria;Thermotogae;Thermotogae,GCA_001636545.1,2.11363,41
[Brevibacterium] frigoritolerans,Bacteria;Terrabacteria group;Firmicutes,GCA_004358755.1,4.56874,40.9
Pedobacter panaciterrae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_013204795.1,6.22842,38.7
Paraburkholderia kirstenboschensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001636975.1,8.34289,61.8
Achromobacter ruhlandii,Bacteria;Proteobacteria;Betaproteobacteria,GCA_902860085.1,6.45695,67.8
Paenibacillus macquariensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900156375.1,6.26323,40.7
Flavobacterium fryxellicola,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900143245.1,3.70986,34.6
Paenibacillus glacialis,Bacteria;Terrabacteria group;Firmicutes,GCA_001637205.1,5.70929,40.7
Paenibacillus antarcticus,Bacteria;Terrabacteria group;Firmicutes,GCA_008369725.1,5.41578,40.6
Phormidium willei BDU 130791,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_001637315.1,4.60057,53.4
Corynebacterium afermentans subsp. afermentans,Bacteria;Terrabacteria group;Actinobacteria,GCA_001639025.1,2.34562,64.8
Marinomonas aquimarina,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900089755.1,3.65963,48.9
Polaribacter atrinae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001640115.1,3.9427,30.4
Aequorivita soesokkakensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001641085.1,3.19078,37.8
Azospirillum humicireducens,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001639105.2,6.8627,67.4979
Methanobrevibacter filiformis,Archaea;Euryarchaeota;Methanomada group,GCA_001639265.1,2.60614,27
Methanobrevibacter cuticularis,Archaea;Euryarchaeota;Methanomada group,GCA_001639285.1,2.6087,26.8
Methanobrevibacter curvatus,Archaea;Euryarchaeota;Methanomada group,GCA_001639295.1,2.41461,25.7
Dyella thiooxydans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001641285.1,4.22717,68
Pseudomonas brenneri,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004363635.1,5.93082,60.8
Bradyrhizobium neotropicale,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001641695.1,8.67933,63.6
Paenibacillus tyrfis,Bacteria;Terrabacteria group;Firmicutes,GCA_000722545.1,8.03319,53
Bradyrhizobium stylosanthis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001641335.1,8.80172,64.6
Streptomyces chilikensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001642695.2,7.12177,73.2
Tamlana agarivorans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001642835.1,3.83411,34.8
Mariniblastus fucicola,Bacteria;PVC group;Planctomycetes,GCA_008087665.1,6.57084,53.4
Roseimaritima ulvae,Bacteria;PVC group;Planctomycetes,GCA_008065135.1,8.21251,59.1
Fictibacillus arsenicus,Bacteria;Terrabacteria group;Firmicutes,GCA_001642935.2,4.05546,39.7
Domibacillus aminovorans,Bacteria;Terrabacteria group;Firmicutes,GCA_001643245.1,4.04219,40.6
Rubripirellula obstinata,Bacteria;PVC group;Planctomycetes,GCA_008374075.1,7.09422,54.3
Capnocytophaga canis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_013276225.1,2.60128,35.6
Marinomonas atlantica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001639725.1,3.86105,44.6
Methylomonas lenta,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001644015.1,4.70386,46.6
Deinococcus puniceus,Bacteria;Terrabacteria group;Deinococcus-Thermus,GCA_001644565.1,2.97198,62.6
Paenibacillus swuensis,Bacteria;Terrabacteria group;Firmicutes,GCA_001644605.1,5.0126,48.9
Paraclostridium benzoelyticum,Bacteria;Terrabacteria group;Firmicutes,GCA_001006285.1,3.55596,28.3
Marinomonas gallaica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900089985.1,3.82604,45.3
Denitrobacterium detoxificans,Bacteria;Terrabacteria group;Actinobacteria,GCA_001643775.1,2.44625,59.5
Paraburkholderia ginsengiterrae,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001645135.1,8.48339,62.4
Gluconobacter cerinus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002723935.1,3.58759,55.6
Rhodococcus kyotonensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_900188125.1,6.31101,64.2
Rhodococcus gordoniae,Bacteria;Terrabacteria group;Actinobacteria,GCA_900455725.1,4.87192,67.9
Rhodococcus kroppenstedtii,Bacteria;Terrabacteria group;Actinobacteria,GCA_900111805.1,4.08283,70.1
Aldersonia kunmingensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001646865.1,5.62278,66.2
Endozoicomonas atrinae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001647025.2,6.68742,47.9
Tsukamurella pseudospumae,Bacteria;Terrabacteria group;Actinobacteria,GCA_001575195.1,5.20633,70.1
Rufibacter roseus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001647285.1,5.11779,46.3
Pseudomonas antarctica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001647715.1,6.60704,59.648
Photobacterium jeanii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003025495.1,5.06029,45.1
Magnetospirillum moscoviense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001650635.1,4.1645,65.2
Magnetospirillum marisnigri,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001650715.1,4.61982,64.7
Polynucleobacter asymbioticus QLW-P1DMWA-1,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000016345.1,2.15949,44.8
Dietzia timorensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001659785.1,3.60789,65.6
Ensifer glycinis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001651865.1,6.03929,62.4
Ochrobactrum pseudogrignonense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002975235.1,4.97449,53.6
Thermosulfurimonas dismutans,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria,GCA_001652585.1,2.11993,50.1
Streptococcus pantholopis,Bacteria;Terrabacteria group;Firmicutes,GCA_001642085.1,2.2413,42
Planomonospora sphaerica,Bacteria;Terrabacteria group;Actinobacteria,GCA_001653075.1,8.13264,72.7
Hoyosella altamirensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001653095.1,4.8751,62.2
Enterococcus thailandicus,Bacteria;Terrabacteria group;Firmicutes,GCA_002290025.1,2.64625,36.8
Pararheinheimera mesophila,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003862465.1,3.81716,47.9
Mesobacillus campisalis,Bacteria;Terrabacteria group;Firmicutes,GCA_000986785.1,5.18206,45.4
Sulfurovum riftiae,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_001595645.1,2.37469,45.7
Kerstersia gyiorum,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004551665.1,3.9458,62.4
Ralstonia insidiosa,Bacteria;Proteobacteria;Betaproteobacteria,GCA_008801405.1,5.72383,63.7
Metabacillus litoralis,Bacteria;Terrabacteria group;Firmicutes,GCA_003667825.1,5.23062,35.9
Buttiauxella gaviniae ATCC 51604,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001654835.1,5.06808,49.4
Enterobacter soli,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000224675.1,5.01213,53.8376
Buttiauxella noackiae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000737905.1,4.76674,49.3
Cosenzaea myxofaciens ATCC 19692,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001654855.1,3.69574,36.3
Buttiauxella ferragutiae ATCC 51602,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001654915.1,5.08709,50.4
Buttiauxella brennerae ATCC 51605,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001654925.1,4.75827,50.6
Kluyvera georgiana,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001682915.1,4.98655,54.8
Labilibacter marinus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001659685.2,6.02658,35.4
Yersinia entomophaga,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001656035.1,4.27541,48.6
Endozoicomonas ascidiicola,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001646955.1,6.51247,47.1
[Propionibacterium] namnetense,Bacteria;Terrabacteria group;Actinobacteria,GCA_003384605.1,2.39985,60.6
Streptomyces parvulus,Bacteria;Terrabacteria group;Actinobacteria,GCA_001660045.1,7.76653,72.7285
Thermobifida halotolerans,Bacteria;Terrabacteria group;Actinobacteria,GCA_003574835.1,5.21772,71
Pedobacter jeongneungensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000633455.1,6.70808,39
Kordia zhangzhouensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001005305.1,4.0316,33.8
Pseudoalteromonas gelatinilytica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001641615.1,4.79762,41.4
Massilibacillus massiliensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900086705.1,4.00095,37.7
Pseudoalteromonas prydzensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001661495.1,5.15449,41.2
Croceicoccus marinus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001661675.2,4.10919,64.5058
Rhizobium bangladeshense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001662125.1,6.61008,60.9
Rhizobium aegyptiacum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001662105.1,7.35116,60.5
Microbacterium arborescens,Bacteria;Terrabacteria group;Actinobacteria,GCA_003339665.1,3.32819,69.8
Altererythrobacter ishigakiensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001663155.1,2.67398,56.9
